JCM-JAP;JAPAN CASHMACHINE Co, Ltd;Osaka
JCR-CHIC;John Crane Inc.;Morton Grove IL
JCR-CN;John Crane Ningbo;Ningbo
JCR-FR;Cyclam S.A.S.;Amiens
JCR-IRL;John Crane Ireland Ltd;Shannon Free Airport
JCR-LAT;John Crane Inc.;Sunrise, FL
JCR-UK;John Crane;UK
JEST-GE;Paul Waermerueck-gewinnung GmbH;Muelsen
JEST-NL;J.E. StorkAir;Zwolle
JEST-SW;Zehnder Comfosystems AG;Waedenswil
KAP-BEL;Kappa Interbox;Hoogstraten
KEYT-NL;Keytec BV;Eindhoven
KHS-MAJ;Majestic Holland b.v.;NIJEHASKE
KHS-TRO;KHS Hohner;Trossingen
KONKUYPE;Koninklijke De Kuyper B.V.;Schiedam
KONSANDE;KONINKLIJKE SANDERS B.V.;Vlijmen
LANG-LIS;Langeveld;-
LG-EINDH;LG. Philips Displays Holding;Eindhoven
LG-SITTA;LG Philips Displays Sittard BV;Sittard
LG-STADS;LG. Philips Displays Stadskanaal;Stadskanaal
LPD-BRZ;LG. Philips Displays Brazil;-
LPD-NSTA;LG. Philips Displays Stadskanaal BV;Stadskanaal
LPD-SIT;LP Displays;Sittard
LPD-WASH;LG. Philips Displays Ltd;Washington
MAC-BEL;Mactac Europe;Soignies
MAJ-HOL;MAJESTIC Holland BV;NIJEHASKE
MAUS-FRA;MAUSER France;FRA
MAUS-USA;Mauser USA, Inc.;Alpharetta
MAXXIM;MAXXIM MEDICAL EUROPE;Oss
MB-POL;Matsushita Battery Poland SA;Gniezno
META-HEL;Metso Automation;Helsinki
METM-ARH;Metso Minerals Industries Inc.;Milwaukee
METM-AT;Metso Minerals Austria;Wien
METM-CAN;Metso Minerals;Guelph
METM-FIN;METSO MINERALS OY;TAMPERE
METM-GAS;Metso Minerals;Gastonia
METM-MIL;Metso Minerals Inc.;Waukesha  WI
METM-TAM;Metso Minerals (Tampere) Oy;Tampere
METM-WAR;Metso Minerals;Warrington
METM-YRK;Metso Minerals Processing;York PA
METOS-BE;Metos NV;Aalst
MIN-VE;Minkels;Veghel
MOG-LUX;Moog Luxemburg;Luxemburg
MONTIS;MONTIS BV;Dongen
MUR-BEL;Murex Diagnostics;BEL
NEWAYS;Neways Advanced Applications B.V.;Son
NIDO-NL;NIDO Universal Machines BV;Holten
NOV-BEL;Novoste SA/NV;Brussels
NUR-EUR;NUR EUROPE SA;Louvain-La-Neuve
OMC-BEL;OMC Europe V.O.F;Gent
ONS-EIN;OnStream Data BV;Eindhoven
OPT-DYNA;Dynadro B.V.;Leusden
OPT-MOOG;Moog Int.;Tewkesbury
OPT-VEGR;Groothandel Vegro BV;Alkmaar
OPT-VOP;Vopak;Rotterdam
OPTTR;Transition Optical Distribution Ltd;Paris La Defense 1
PACT-DC;Jiffy Packaging Company Ltd;Winsford, Cheshire
PACT-FRA;PACTIV SAS;Meyzieu
PACT-JI;Jiffy Packaging Company Ltd;Winsford, Cheshire
PACT-PO;Pactiv Poland;PO
PACT-UK;Pactiv UK;UK
PAMS-US;Philips Advanced Metrological Sys;Natick
PAN-BEL;Panasonic Battery Belgium;Tessenderlo
PANALYT;PANalytical BV;Almelo
PARK-FR;Parkeon;Besancon Cedex 9
PDS-HEER;Professional Display Systems BV;Heerlen
PGE;Philips PGE-ETG;Eindhoven
PH-BIO;BiometriX;Eindhoven
PH-CORP;Philips Corp IT;Eindhoven
PH-CRYPT;Philips Digital Networks BV;Eindhoven
PH-HASS;Philips Innovative Applications;Hasselt
PH-KWID;Philips CE Poland;Kwidzyn
PH-LEUV;Philips Innovative Applications;Leuven
PH-OVAR;Philips Portuguesa SA;PO
PH-SZEK;Philips Assembly Centre Hungary Ltd;Szekesfehervar 204
PH-VIEN;Philips Austria GmbH;Vienna
PH-WARS;Philips CE Polska SP.ZO.O;Warsaw
PHASSICC;Assembleon Netherlands BV;Eindhoven
PHASSRCA;Assembleon RCA;Eindhoven
PHASSRCE;Assembleon Netherlands B.V.;Eindhoven
PHCC-MAN;Philips Consumer Communications;Le Mans Cedex 9
PHCE-EHV;Philips CE Sound & Vision Automatio;Eindhoven
PHCE-KRE;Philips CE Tuner;Krefeld
PHCE-SIN;Jabil Singapore;SIN
PHCE-SRV;Philips Consumer Electr Euroservice;Eindhoven
PHCE-SUZ;Philips CE Co of Suzhou Ltd (CTV);Suzhou
PHCO-PD;Philips Electronics Nederland BV;Eindhoven
PHCS-HUN;Philips Car Systems;Sarbogard
PHDAP-HO;Philips DAP Industries Hogeveen;Hoogeveen
PHDAP-PO;Philips DAP Industries Poland;Bialystok
PHKYM-SH;Philips Key Modules (Shanghai) Ltd;Shanghai
PHLIG-MX;Lumisistemas de Mexico;Queretaro
PHMDS-SH;Philips MDS Shanghai;Shanghai
PHMF-LOM;Philips PMF;Lommel
PHMO-JEZ;Philips Monitors;Texas
PHOS-GYR;Philips Components, Ltd.;Gyor
PHOS-SIN;Philips Optical Storage;SIN
PHPMS-HE;Philips Medical Systems;Heerlen
PHPOS-EH;Philips Optical Storage  BV;Eindhoven
PHPS-EHV;Philips P2 Power Solutions;Eindhoven
PHRC-MEX;Philips RCS;El Paso
PHRC-SIN;Philips Components RCS;SIN
PHRF-EHV;Philips Radio Frequency;Eindhoven
PHSC-EHV;Philips Semicondoctors;Eindhoven
PHSC-STD;Philips SemiConductors;Stadskanaal
PHSP-VIE;Philips Speech Procesing;Vienna
PHSS-MAL;Philips Sound Systems;Kedah
PIE-BRE;Philips Electronique Industrielle;Limeil Brevannes
PIE-CAM;Philips IE Cambridge;Cambridge
PIE-EHPR;Philips Projects BV;Eindhoven
PIE-ela;Philips Netherlands BV;Eindhoven
PIE-KAS;Philips Comms, Security & Imaging;Kassel
PIE-PD;Philips IE PD;Eindhoven
PIE-SIN;Philips IE Singapore;SIN
PIE-SUNB;Philips CSS;Sunbury-on-Thames
PIEMED;Esaote Europe BV;Maastricht
PIPEL-NL;Pipelife Nederland BV;Enkhuizen
POL-BEL;Polytuil SA;Herstal
PPF-NL;Provimi Pet Food NL;Doetinchem
PPG-DUB;PRC DeSoto;Dubai
PPG-GL;PRC-DeSoto International;Glendale
PPG-HB;PRC DeSoto;Hamburg
PPG-LH;PRC-DeSoto International;Le Havre
PPG-LV;Porter Paints Inc;Louisville
PPG-PAR;PPG Industries International Inc;Paris La Defense Ced
PPG-SN;PRC-DeSoto International;Shildon Durham
PREG-KO;Kobusch - Sengewald Pregis GmbH;Warburg
PREG-WE;PREGIS;Wellen
PREMOTEC;Precision Motor Technology BV;Dordrecht
PRS-BEL;Performance Roof Systems;Perwez
QAD-AUS;QAD Australia;Victoria
QAD-FRA;QAD EuropeSAS;Alfortville
QAD-HOO;QAD Europe BV;Schiphol-Rijk
QAD-USA;QAD Inc;Carpinteria
RAL-DIL;Ralux;Dilsen - Stokkem
RAY-CYPR;RAYCHEM Technologies Ltd;Nicosia
RAY-SAAR;RAYCHEM SAUDI ARABIA;Al-Khobar
SAF-BEL;Safta NV;Brussel
SCH-CARF;Schlumberger Cards & Terminals GmbH;Dreieich Sprendlinge
SCH-HUN;Ganz Meter Co - Schlumberger Ind;
SCH-PAR;Schlumberger Industries Internation;Montrouge
SCH-PRM;Schlumberger PRM;PRM
SCOTTS;Scotts International BV;Heerlen
SDR-BEL;Saunier Duval Renovabulex;Brussel
SEAL-RA;Seal Graphics Europe BV;Raalte
SGOB-GEM;Saint-Gobain Performance Plastics;Gembloux
SGOB-KON;Saint Gobain Performance Plastics;Kontich
SLB-US;Schlumberger Technology Corp.;Sugar Land TX77478
SOL-BRU;Solvay SA;Brussels
STJ-BRU;St Jude Medical CC;Zaventem
SWE-BEL;Schweppes Belgium NV;Rixensart (Genval)
TAL-SWI;TALOCA AG;Zug
TAL-UK;Talaris Limited;Basingstoke
TECNO-NL;Tecnotion BV;Almelo
THOM-HOB;Thomsom CSF;Hoboken
TI-LOK;TI Group Automotive Systems;Lokeren
TPO-EUR;TPO Displays Europe BV;Heerlen
TPO-HK;TPO Displays Hong Kong Ltd;HK
TRWA-EU;TRW AKFZ Ausruestung GmbH;NIEUWIED
UNI-CPH;Frisko Is A/S;Glosstrup
UNI-EUR;Unilever Eurobuying;Rotterdam
UNI-FIN;Van den Bergh Foods Finland;Helsinki
UNI-GBG;Unilever Sverige AB;Stromsund
UNI-HAM;Unilever Food & Beverages Europe;Rotterdam
UNI-HELS;Unilever Sverige AB;Helsinborg
UNI-HEWI;Hellendoorn Wilp;Hellendoorn
UNI-IER;Unilever Bestfoods Ireland Ltd;Dublin
UNI-MAAS;Mora Produktie BV;Maastricht
UNI-MOL ;Mora Produktie BV;Mol
UNI-MSMU;Mora Produktie BV;Maastricht
UNI-RDM;Unilever Bestfoods Nederland;Rotterdam
UNI-SHB;Finance Focus;Vlaardingen
UNI-UMZ;Unimills BV Zwijndrecht;Zwijndrecht
UNI-VDB;Van den Bergh Nederland;Rotterdam
UNIPHASE;Uniphase Netherlands BV;Eindhoven
VAIS-AIX;Vaisala Dimension;Meyreuil
VAIS-BIR;Vaisala UK;Birmingham
VAIS-BOS;Vaisala Inc.;Woburn , MA
VAIS-HAM;Vaisala GmbH;Hamburg
VAIS-HEL;Vaisala oy;Helsinki
VAIS-LOU;VAISALA Inc;Louisville
VAIS-MEL;Vaisala;Melbourne
VAIS-TOK;Vaisala;Tokyo
VAIS-TUX;Vaisala;Tucson
VAIS-VIC;Vaisala PTY Ltd;Hawthorn Victoria
VHU-BEL;Verhulst Airconditioning NV;Antwerpen
VOLC-BE;Volcano Therapeutics;Brussels
WAL-NOR;Walbro Automotive AS;Kongsvinger
WAT-BEL;Mechanische Constructie Watteeuw;Oostkamp
ZEPT-CH;Bioptron AG;Wollerau
